"vuosi";"kunta18";"amuutto_lahto";"tyopaikka_muutto_lahto";"tyollistyy_muutto_lahto";"amuutto_tulo";"tyopaikka_muutto_tulo";"tyollistyy_muutto_tulo";"tyo_muutto_lahto";"tyo_muutto_tulo"
1996;5;234;13;33;183;14;28;46;42
1996;9;72;4;6;44;NA;NA;10;4
1996;10;310;26;51;185;16;20;77;36
1996;16;287;23;25;234;17;16;48;33
1996;18;165;9;22;158;7;13;31;20
1996;19;133;9;9;101;NA;NA;18;18
1996;20;425;31;53;360;29;44;84;73
1996;35;20;NA;NA;13;NA;NA;NA;NA
1996;43;17;NA;NA;20;NA;NA;NA;NA
1996;46;103;4;11;46;NA;NA;15;4
1996;47;81;10;5;55;6;6;15;12
1996;49;7173;566;766;9526;938;1362;1332;2300
1996;50;323;29;38;270;23;36;67;59
1996;51;309;15;34;236;8;19;49;27
1996;52;79;6;11;38;NA;NA;17;7
1996;60;65;NA;NA;60;NA;NA;16;12
1996;61;800;60;94;638;44;83;154;127
1996;62;14;NA;NA;10;NA;NA;NA;NA
1996;65;NA;NA;NA;14;NA;NA;NA;NA
1996;69;203;15;32;158;11;18;47;29
1996;71;249;17;43;154;16;10;60;26
1996;72;20;NA;NA;43;4;4;NA;8
1996;74;33;NA;NA;28;NA;NA;8;9
1996;75;519;49;65;403;38;42;114;80
1996;76;26;NA;NA;51;NA;NA;7;10
1996;77;120;NA;NA;89;NA;NA;16;5
1996;78;353;32;51;177;19;32;83;51
1996;79;315;26;37;228;12;27;63;39
1996;81;129;9;15;95;4;11;24;15
1996;82;421;20;47;382;36;30;67;66
1996;86;337;12;41;332;22;30;53;52
1996;90;162;10;17;97;9;11;27;20
1996;91;15092;1080;1447;21275;1763;3695;2527;5458
1996;92;7292;459;739;7730;608;1101;1198;1709
1996;97;97;NA;NA;71;NA;NA;12;10
1996;98;1088;60;131;863;45;75;191;120
1996;99;57;5;8;41;NA;NA;13;7
1996;102;287;25;42;256;17;30;67;47
1996;103;104;5;15;76;4;7;20;11
1996;105;97;6;17;55;5;7;23;12
1996;106;1268;82;156;1247;107;182;238;289
1996;108;259;15;23;258;12;26;38;38
1996;109;1747;136;239;1793;161;193;375;354
1996;111;646;59;84;503;33;57;143;90
1996;139;225;6;34;207;9;16;40;25
1996;140;695;54;106;593;43;71;160;114
1996;142;205;11;35;199;13;14;46;27
1996;143;266;18;27;200;14;14;45;28
1996;145;338;16;62;236;9;26;78;35
1996;146;231;16;33;143;9;17;49;26
1996;148;276;26;37;200;13;27;63;40
1996;149;174;NA;NA;187;8;12;25;20
1996;151;45;NA;NA;40;NA;NA;7;8
1996;152;150;7;20;144;12;18;27;30
1996;153;903;76;110;682;57;70;186;127
1996;165;522;34;59;403;29;42;93;71
1996;167;2355;189;386;2310;145;223;575;368
1996;169;216;9;30;217;14;22;39;36
1996;170;108;NA;NA;108;5;11;16;16
1996;171;230;19;26;192;14;15;45;29
1996;172;143;8;18;150;9;15;26;24
1996;176;170;13;24;109;4;12;37;16
1996;177;75;5;7;56;4;7;12;11
1996;178;221;17;34;124;4;15;51;19
1996;179;3263;368;506;3956;310;536;874;846
1996;181;56;6;8;67;NA;NA;14;11
1996;182;601;49;73;491;45;56;122;101
1996;186;1587;122;151;1417;129;198;273;327
1996;202;1255;55;154;1091;68;99;209;167
1996;204;115;5;15;99;7;9;20;16
1996;205;1200;109;184;958;72;113;293;185
1996;208;298;15;52;160;15;23;67;38
1996;211;932;45;105;732;45;87;150;132
1996;213;143;7;28;123;4;10;35;14
1996;214;421;26;49;308;28;30;75;58
1996;216;60;NA;NA;37;NA;NA;12;5
1996;217;169;14;25;103;6;18;39;24
1996;218;38;NA;NA;26;NA;NA;7;7
1996;224;254;19;28;230;9;23;47;32
1996;226;114;7;13;92;9;14;20;23
1996;230;78;4;6;47;NA;NA;10;11
1996;231;53;NA;NA;29;NA;NA;9;6
1996;232;404;28;78;239;6;25;106;31
1996;233;433;34;65;334;25;42;99;67
1996;235;458;25;56;482;31;54;81;85
1996;236;133;14;24;82;6;9;38;15
1996;239;72;6;10;71;4;11;16;15
1996;240;808;63;126;697;41;77;189;118
1996;241;380;17;52;280;9;34;69;43
1996;244;509;36;68;419;18;53;104;71
1996;245;1422;94;133;1269;93;163;227;256
1996;249;330;21;53;258;17;26;74;43
1996;250;80;6;8;41;NA;NA;14;7
1996;256;46;NA;NA;30;NA;NA;9;6
1996;257;1225;84;144;1301;118;157;228;275
1996;260;366;18;45;225;14;19;63;33
1996;261;169;15;15;128;8;20;30;28
1996;263;294;27;32;161;10;9;59;19
1996;265;71;NA;NA;36;NA;NA;14;8
1996;271;213;12;39;183;9;16;51;25
1996;272;1039;113;167;759;66;84;280;150
1996;273;171;13;29;87;5;11;42;16
1996;275;92;4;16;62;4;8;20;12
1996;276;455;17;48;486;15;43;65;58
1996;280;27;NA;NA;37;6;9;7;15
1996;284;77;4;7;56;NA;NA;11;7
1996;285;1124;105;162;1157;107;166;267;273
1996;286;1884;183;276;1311;118;157;459;275
1996;287;193;12;41;148;16;26;53;42
1996;288;138;7;25;79;NA;NA;32;12
1996;290;314;29;42;139;11;13;71;24
1996;291;110;9;14;81;4;5;23;9
1996;295;11;NA;NA;13;NA;NA;NA;NA
1996;297;3222;317;464;3255;287;373;781;660
1996;300;131;12;22;57;NA;NA;34;11
1996;301;610;47;105;384;29;47;152;76
1996;304;32;NA;NA;25;NA;NA;4;NA
1996;305;424;31;77;262;27;30;108;57
1996;309;273;13;38;219;7;16;51;23
1996;312;38;NA;NA;30;NA;NA;10;8
1996;316;186;10;14;130;6;19;24;25
1996;317;113;9;12;34;NA;NA;21;9
1996;318;4;NA;NA;7;NA;NA;NA;NA
1996;320;409;37;54;267;21;45;91;66
1996;322;161;7;37;137;15;11;44;26
1996;398;3191;283;397;3091;252;343;680;595
1996;399;235;15;37;149;13;7;52;20
1996;400;237;19;33;132;6;18;52;24
1996;402;260;20;39;216;22;27;59;49
1996;403;91;5;20;57;NA;NA;25;7
1996;405;1750;163;261;1739;154;218;424;372
1996;407;107;5;10;83;4;9;15;13
1996;408;349;18;47;226;16;32;65;48
1996;410;492;31;57;454;26;37;88;63
1996;416;146;10;13;133;5;16;23;21
1996;417;28;NA;NA;35;NA;NA;4;8
1996;418;606;29;79;555;31;68;108;99
1996;420;319;17;51;239;13;21;68;34
1996;421;34;NA;NA;24;NA;NA;5;5
1996;422;414;26;60;192;15;15;86;30
1996;423;552;21;64;578;31;47;85;78
1996;425;188;11;24;189;17;18;35;35
1996;426;447;22;53;368;14;30;75;44
1996;430;382;34;54;358;18;40;88;58
1996;433;266;17;30;239;20;22;47;42
1996;434;419;32;51;307;20;28;83;48
1996;435;39;NA;NA;15;NA;NA;8;4
1996;436;79;NA;NA;35;NA;NA;16;6
1996;438;5;NA;NA;11;NA;NA;NA;NA
1996;440;111;5;26;77;4;11;31;15
1996;441;131;8;17;120;6;7;25;13
1996;444;1102;72;141;884;56;99;213;155
1996;445;366;32;48;293;16;47;80;63
1996;475;98;8;15;91;NA;NA;23;17
1996;478;340;12;38;351;27;56;50;83
1996;480;80;7;9;56;4;5;16;9
1996;481;326;14;26;290;12;26;40;38
1996;483;25;NA;NA;27;NA;NA;4;NA
1996;484;105;6;16;73;4;13;22;17
1996;489;60;NA;NA;48;6;10;6;16
1996;491;1430;139;227;1310;116;145;366;261
1996;494;253;12;30;172;14;31;42;45
1996;495;58;NA;NA;51;NA;NA;13;8
1996;498;78;6;19;56;NA;NA;25;9
1996;499;455;22;53;404;17;43;75;60
1996;500;296;18;41;369;27;33;59;60
1996;503;255;12;32;188;10;13;44;23
1996;504;63;4;10;43;NA;NA;14;5
1996;505;550;31;68;553;45;32;99;77
1996;507;179;12;30;161;7;8;42;15
1996;508;355;34;45;309;29;34;79;63
1996;529;626;36;54;713;53;69;90;122
1996;531;205;15;28;165;7;31;43;38
1996;535;264;20;35;175;9;22;55;31
1996;536;835;46;92;751;47;79;138;126
1996;538;153;8;13;117;6;11;21;17
1996;541;306;30;55;163;6;16;85;22
1996;543;1107;66;115;1056;86;126;181;212
1996;545;135;7;27;82;4;8;34;12
1996;560;501;25;67;380;20;39;92;59
1996;561;39;NA;NA;20;NA;NA;7;NA
1996;562;242;13;30;237;17;22;43;39
1996;563;244;23;33;165;9;28;56;37
1996;564;3435;429;510;4826;443;783;939;1226
1996;576;147;12;17;83;10;5;29;15
1996;577;394;21;53;294;22;38;74;60
1996;578;119;7;14;80;5;6;21;11
1996;580;202;17;29;135;9;11;46;20
1996;581;228;11;22;190;13;17;33;30
1996;583;41;4;7;26;NA;NA;11;6
1996;584;63;NA;NA;33;NA;NA;22;8
1996;588;69;NA;NA;54;NA;NA;9;12
1996;592;112;NA;NA;93;NA;NA;17;13
1996;593;612;49;81;486;28;58;130;86
1996;595;175;11;24;94;NA;NA;35;16
1996;598;534;41;70;439;26;88;111;114
1996;599;234;7;37;160;8;21;44;29
1996;601;142;14;21;80;6;11;35;17
1996;604;502;22;57;464;29;44;79;73
1996;607;156;9;19;121;6;5;28;11
1996;608;57;NA;NA;67;4;6;8;10
1996;609;1837;135;279;1722;131;196;414;327
1996;611;118;7;20;138;7;12;27;19
1996;614;136;8;19;78;NA;NA;27;11
1996;615;274;10;49;165;11;15;59;26
1996;616;69;4;4;60;NA;NA;8;6
1996;619;80;6;8;72;NA;NA;14;10
1996;620;89;6;14;57;NA;NA;20;12
1996;623;64;6;9;58;NA;NA;15;4
1996;624;201;9;29;150;8;10;38;18
1996;625;113;8;17;60;4;10;25;14
1996;626;207;12;40;104;8;14;52;22
1996;630;52;4;5;26;NA;NA;9;4
1996;631;86;6;13;77;NA;NA;19;10
1996;635;181;6;17;173;11;15;23;26
1996;636;202;7;25;181;14;16;32;30
1996;638;1117;78;152;1154;93;158;230;251
1996;678;836;64;157;540;28;70;221;98
1996;680;1060;63;114;1036;61;99;177;160
1996;681;141;11;22;97;NA;NA;33;14
1996;683;181;13;27;112;10;9;40;19
1996;684;1249;131;170;914;87;103;301;190
1996;686;122;5;14;89;NA;NA;19;6
1996;687;86;9;12;54;4;7;21;11
1996;689;170;15;26;106;7;12;41;19
1996;691;85;7;11;45;NA;NA;18;7
1996;694;900;73;92;880;60;92;165;152
1996;697;55;6;15;17;NA;NA;21;4
1996;698;1639;173;271;1620;129;196;444;325
1996;700;224;7;36;179;13;17;43;30
1996;702;163;13;22;123;5;10;35;15
1996;704;232;10;26;185;6;13;36;19
1996;707;94;4;13;63;NA;NA;17;7
1996;710;580;63;71;523;26;62;134;88
1996;729;250;19;38;246;27;20;57;47
1996;732;171;14;35;91;6;7;49;13
1996;734;990;105;116;1098;114;142;221;256
1996;736;47;NA;NA;32;NA;NA;6;4
1996;738;96;4;13;87;NA;NA;17;11
1996;739;117;7;20;102;4;8;27;12
1996;740;1125;93;200;961;58;91;293;149
1996;742;57;4;6;31;NA;NA;10;8
1996;743;1375;136;234;1377;100;179;370;279
1996;746;132;10;16;131;15;15;26;30
1996;747;68;5;5;47;NA;NA;10;7
1996;748;171;12;29;111;5;11;41;16
1996;749;801;45;102;723;37;77;147;114
1996;751;146;7;21;94;6;12;28;18
1996;753;519;39;56;619;35;37;95;72
1996;755;190;18;19;192;17;13;37;30
1996;758;308;24;46;173;16;17;70;33
1996;759;72;NA;NA;38;NA;NA;15;6
1996;761;242;16;27;217;19;38;43;57
1996;762;155;8;21;132;7;10;29;17
1996;765;265;22;44;207;16;27;66;43
1996;766;4;NA;NA;NA;NA;NA;NA;NA
1996;768;103;7;10;58;NA;NA;17;11
1996;771;25;NA;NA;26;NA;NA;4;4
1996;777;326;30;53;136;12;19;83;31
1996;778;228;17;19;184;12;17;36;29
1996;781;159;4;25;112;NA;NA;29;21
1996;783;252;22;33;157;14;22;55;36
1996;785;136;15;14;77;6;4;29;10
1996;790;568;35;73;400;27;31;108;58
1996;791;202;16;20;119;9;14;36;23
1996;831;218;10;22;185;11;20;32;31
1996;832;150;7;19;89;7;12;26;19
1996;833;54;4;6;39;NA;NA;10;NA
1996;834;213;9;20;255;13;17;29;30
1996;837;5306;485;747;7856;641;1097;1232;1738
1996;844;58;5;9;57;4;5;14;9
1996;845;110;8;15;92;NA;NA;23;13
1996;846;161;9;18;115;5;10;27;15
1996;848;198;15;25;108;7;7;40;14
1996;849;102;5;18;52;5;6;23;11
1996;850;77;9;10;64;6;7;19;13
1996;851;613;38;96;515;34;59;134;93
1996;853;5261;516;634;7220;429;894;1150;1323
1996;854;161;9;24;94;NA;NA;33;16
1996;857;99;NA;NA;97;5;7;16;12
1996;858;1295;73;160;1415;109;142;233;251
1996;859;139;NA;NA;129;6;19;23;25
1996;886;589;22;85;421;22;35;107;57
1996;887;155;11;21;126;NA;NA;32;18
1996;889;97;5;11;64;5;5;16;10
1996;890;49;NA;NA;48;NA;NA;10;6
1996;892;85;4;6;95;NA;NA;10;16
1996;893;121;12;21;117;14;14;33;28
1996;895;443;26;50;442;52;87;76;139
1996;905;1830;156;260;2041;166;294;416;460
1996;908;555;34;69;371;31;47;103;78
1996;911;82;5;12;47;NA;NA;17;7
1996;915;744;72;92;662;64;83;164;147
1996;918;97;6;9;71;NA;NA;15;11
1996;921;90;5;9;48;NA;NA;14;6
1996;922;121;NA;NA;123;7;8;23;15
1996;924;104;10;13;61;5;13;23;18
1996;925;138;7;15;111;7;12;22;19
1996;927;894;66;91;820;56;78;157;134
1996;931;223;15;22;141;10;18;37;28
1996;934;99;8;15;59;5;5;23;10
1996;935;99;9;19;101;9;14;28;23
1996;936;211;20;40;146;9;19;60;28
1996;941;8;NA;NA;7;NA;NA;NA;NA
1996;946;150;11;18;87;6;16;29;22
1996;976;160;15;25;70;5;5;40;10
1996;977;463;32;65;351;22;34;97;56
1996;980;920;58;115;938;59;93;173;152
1996;981;61;5;12;87;NA;NA;17;8
1996;989;178;12;32;127;5;17;44;22
1996;992;547;33;65;450;26;62;98;88
1997;5;277;16;52;169;15;31;68;46
1997;9;62;4;10;53;NA;NA;14;11
1997;10;289;24;53;225;28;41;77;69
1997;16;289;28;43;281;17;26;71;43
1997;18;162;13;18;139;11;11;31;22
1997;19;127;7;17;127;9;9;24;18
1997;20;442;40;62;402;21;59;102;80
1997;35;13;NA;NA;16;NA;NA;9;4
1997;43;21;NA;NA;17;NA;NA;5;NA
1997;46;92;5;11;49;NA;NA;16;NA
1997;47;54;NA;NA;42;4;5;9;9
1997;49;7420;675;886;9444;1106;1457;1561;2563
1997;50;334;35;49;273;34;38;84;72
1997;51;344;16;49;245;17;28;65;45
1997;52;71;6;7;37;NA;NA;13;4
1997;60;79;4;12;66;11;7;16;18
1997;61;804;72;129;636;55;96;201;151
1997;62;14;NA;NA;11;NA;NA;NA;NA
1997;65;6;NA;NA;13;NA;NA;NA;NA
1997;69;224;23;43;153;19;21;66;40
1997;71;214;24;38;132;12;18;62;30
1997;72;23;NA;NA;27;NA;NA;NA;5
1997;74;43;5;7;20;NA;NA;12;5
1997;75;500;33;70;439;44;68;103;112
1997;76;31;NA;NA;34;NA;NA;5;8
1997;77;131;12;10;135;7;16;22;23
1997;78;334;40;55;190;13;35;95;48
1997;79;302;23;46;237;17;39;69;56
1997;81;127;8;22;107;9;4;30;13
1997;82;350;29;30;330;27;38;59;65
1997;86;345;18;35;315;27;26;53;53
1997;90;151;16;24;93;11;16;40;27
1997;91;15300;1365;1589;21229;2226;4170;2954;6396
1997;92;7181;654;748;7743;857;1184;1402;2041
1997;97;90;5;13;87;4;6;18;10
1997;98;951;70;125;833;68;89;195;157
1997;99;59;4;9;45;NA;NA;13;7
1997;102;247;20;40;231;22;33;60;55
1997;103;108;10;18;70;6;9;28;15
1997;105;130;14;19;46;NA;NA;33;14
1997;106;1249;106;150;1299;113;197;256;310
1997;108;248;14;30;305;22;34;44;56
1997;109;1749;177;268;1857;171;254;445;425
1997;111;621;56;83;495;34;66;139;100
1997;139;238;9;38;162;8;10;47;18
1997;140;767;64;119;581;47;74;183;121
1997;142;205;18;26;178;16;12;44;28
1997;143;263;17;38;246;23;21;55;44
1997;145;341;14;59;230;15;23;73;38
1997;146;169;12;30;120;6;9;42;15
1997;148;232;28;31;169;18;22;59;40
1997;149;163;13;25;179;12;16;38;28
1997;151;54;6;6;46;5;8;12;13
1997;152;160;15;17;145;15;15;32;30
1997;153;872;88;120;662;39;76;208;115
1997;165;464;27;65;429;32;47;92;79
1997;167;2544;275;457;2386;151;260;732;411
1997;169;214;14;32;241;13;31;46;44
1997;170;96;12;15;123;8;19;27;27
1997;171;240;23;27;174;13;20;50;33
1997;172;185;16;31;125;11;13;47;24
1997;176;189;20;24;132;11;20;44;31
1997;177;58;4;12;56;6;6;16;12
1997;178;177;15;34;135;11;11;49;22
1997;179;3466;397;606;4123;400;510;1003;910
1997;181;71;4;11;45;NA;NA;15;4
1997;182;661;77;114;479;38;56;191;94
1997;186;1454;139;126;1438;163;188;265;351
1997;202;1164;77;140;1070;87;127;217;214
1997;204;132;10;26;93;8;5;36;13
1997;205;1317;163;263;966;98;111;426;209
1997;208;300;27;50;183;8;26;77;34
1997;211;868;70;110;834;68;96;180;164
1997;213;164;11;22;102;NA;NA;33;13
1997;214;402;39;56;312;26;38;95;64
1997;216;54;7;9;49;NA;NA;16;7
1997;217;141;11;19;102;16;9;30;25
1997;218;39;NA;NA;34;NA;NA;6;6
1997;224;253;22;32;281;24;50;54;74
1997;226;146;15;28;97;8;18;43;26
1997;230;77;8;7;48;4;8;15;12
1997;231;47;NA;NA;24;NA;NA;8;NA
1997;232;394;41;73;298;25;33;114;58
1997;233;512;49;81;349;20;53;130;73
1997;235;504;43;65;451;45;62;108;107
1997;236;105;7;16;78;7;13;23;20
1997;239;112;6;15;49;4;9;21;13
1997;240;794;74;111;690;34;86;185;120
1997;241;386;15;58;272;17;21;73;38
1997;244;474;52;49;560;47;67;101;114
1997;245;1241;125;124;1259;149;160;249;309
1997;249;300;21;50;248;15;34;71;49
1997;250;61;NA;NA;43;NA;NA;21;4
1997;256;64;9;15;55;NA;NA;24;5
1997;257;1240;108;107;1320;129;177;215;306
1997;260;361;29;57;273;17;30;86;47
1997;261;185;15;30;119;11;26;45;37
1997;263;249;17;43;154;11;12;60;23
1997;265;83;8;12;37;NA;NA;20;4
1997;271;231;17;44;202;14;25;61;39
1997;272;1014;96;185;814;92;85;281;177
1997;273;152;20;18;71;5;15;38;20
1997;275;80;9;12;78;4;6;21;10
1997;276;496;28;64;475;28;59;92;87
1997;280;39;NA;NA;27;NA;NA;8;NA
1997;284;55;NA;NA;53;NA;NA;11;5
1997;285;1279;133;186;1130;107;157;319;264
1997;286;1856;212;289;1381;167;169;501;336
1997;287;222;23;39;115;18;10;62;28
1997;288;128;11;26;80;NA;NA;37;12
1997;290;360;38;74;123;14;18;112;32
1997;291;87;7;12;78;8;9;19;17
1997;295;12;NA;NA;8;NA;NA;NA;NA
1997;297;3422;437;602;3447;361;448;1039;809
1997;300;112;16;16;58;4;6;32;10
1997;301;586;51;95;347;29;30;146;59
1997;304;29;4;6;15;NA;NA;10;7
1997;305;550;50;127;279;34;39;177;73
1997;309;324;37;52;158;10;15;89;25
1997;312;48;5;7;21;NA;NA;12;NA
1997;316;166;10;22;123;13;16;32;29
1997;317;83;4;16;45;NA;NA;20;7
1997;318;6;NA;NA;8;NA;NA;NA;NA
1997;320;440;45;74;214;26;51;119;77
1997;322;169;21;19;126;11;18;40;29
1997;398;3098;327;457;3158;339;449;784;788
1997;399;231;19;39;182;12;24;58;36
1997;400;224;17;38;182;22;29;55;51
1997;402;312;27;43;255;18;30;70;48
1997;403;99;7;20;48;NA;NA;27;10
1997;405;1759;202;272;1785;168;219;474;387
1997;407;85;NA;NA;90;5;10;12;15
1997;408;343;29;65;227;18;29;94;47
1997;410;551;24;87;504;38;54;111;92
1997;416;115;6;14;112;8;13;20;21
1997;417;36;NA;NA;66;4;6;6;10
1997;418;549;26;91;586;50;66;117;116
1997;420;335;26;57;265;25;26;83;51
1997;421;30;NA;NA;14;NA;NA;5;5
1997;422;361;37;60;206;16;18;97;34
1997;423;570;33;63;631;44;61;96;105
1997;425;226;16;26;171;15;17;42;32
1997;426;447;23;63;401;27;36;86;63
1997;430;463;43;68;384;29;37;111;66
1997;433;229;18;32;236;22;35;50;57
1997;434;420;32;59;355;28;35;91;63
1997;435;42;NA;NA;30;4;5;8;9
1997;436;37;4;4;58;NA;NA;8;6
1997;438;7;NA;NA;9;NA;NA;NA;NA
1997;440;103;NA;NA;104;6;12;18;18
1997;441;97;8;16;141;10;9;24;19
1997;444;1041;98;143;1043;96;133;241;229
1997;445;345;21;44;331;34;38;65;72
1997;475;111;8;14;78;5;13;22;18
1997;478;358;27;42;353;27;65;69;92
1997;480;61;8;11;63;NA;NA;19;10
1997;481;339;17;38;327;26;23;55;49
1997;483;56;8;11;29;7;6;19;13
1997;484;89;8;8;76;5;16;16;21
1997;489;54;10;7;54;4;14;17;18
1997;491;1522;160;257;1433;134;186;417;320
1997;494;248;17;36;211;26;24;53;50
1997;495;46;6;5;43;NA;NA;11;8
1997;498;88;13;19;57;12;11;32;23
1997;499;453;34;58;461;35;48;92;83
1997;500;307;27;33;388;30;41;60;71
1997;503;245;13;26;221;22;24;39;46
1997;504;53;NA;NA;39;NA;NA;10;7
1997;505;546;43;65;567;50;67;108;117
1997;507;221;14;34;172;17;23;48;40
1997;508;372;35;40;280;21;33;75;54
1997;529;638;40;86;701;40;84;126;124
1997;531;173;10;22;152;17;11;32;28
1997;535;248;28;44;158;10;36;72;46
1997;536;720;35;103;743;73;101;138;174
1997;538;152;11;15;130;6;10;26;16
1997;541;309;20;44;165;10;15;64;25
1997;543;1001;84;98;1167;117;142;182;259
1997;545;118;6;27;91;8;23;33;31
1997;560;454;33;59;436;38;41;92;79
1997;561;38;NA;NA;37;NA;NA;8;5
1997;562;268;23;28;229;24;25;51;49
1997;563;282;26;60;224;19;40;86;59
1997;564;3854;570;604;4800;511;841;1174;1352
1997;576;112;5;14;98;8;13;19;21
1997;577;367;49;43;271;24;36;92;60
1997;578;150;6;31;99;NA;NA;37;16
1997;580;178;19;30;133;8;13;49;21
1997;581;233;19;32;143;14;17;51;31
1997;583;40;NA;NA;44;4;6;10;10
1997;584;93;11;13;39;NA;NA;24;9
1997;588;68;5;11;57;NA;NA;16;7
1997;592;88;9;13;108;4;9;22;13
1997;593;716;68;122;511;38;54;190;92
1997;595;205;12;29;91;5;11;41;16
1997;598;497;50;60;421;33;83;110;116
1997;599;230;11;42;163;8;17;53;25
1997;601;142;16;16;96;6;15;32;21
1997;604;538;35;66;505;40;55;101;95
1997;607;148;9;20;118;NA;NA;29;11
1997;608;108;8;20;74;NA;NA;28;9
1997;609;1988;215;323;1830;149;225;538;374
1997;611;116;9;8;130;16;11;17;27
1997;614;198;12;21;93;5;5;33;10
1997;615;308;27;49;161;15;13;76;28
1997;616;60;4;11;68;7;9;15;16
1997;619;89;11;10;59;NA;NA;21;11
1997;620;112;12;12;62;5;9;24;14
1997;623;91;5;21;75;5;4;26;9
1997;624;156;10;18;156;8;14;28;22
1997;625;93;4;14;61;4;13;18;17
1997;626;206;19;30;92;9;10;49;19
1997;630;79;4;12;26;4;7;16;11
1997;631;105;4;15;89;6;6;19;12
1997;635;178;13;20;176;16;21;33;37
1997;636;250;15;46;191;9;18;61;27
1997;638;1140;89;160;1103;119;146;249;265
1997;678;834;71;153;576;47;87;224;134
1997;680;1002;75;112;1222;81;141;187;222
1997;681;120;8;14;108;10;10;22;20
1997;683;167;18;21;99;NA;NA;39;9
1997;684;1268;148;240;978;103;131;388;234
1997;686;119;10;20;81;7;12;30;19
1997;687;86;8;19;56;NA;NA;27;9
1997;689;146;19;21;93;9;8;40;17
1997;691;105;12;15;37;4;9;27;13
1997;694;873;86;114;850;77;118;200;195
1997;697;59;NA;NA;12;NA;NA;7;NA
1997;698;1748;203;313;1733;174;230;516;404
1997;700;178;6;16;200;13;22;22;35
1997;702;159;11;16;140;17;15;27;32
1997;704;211;18;26;205;8;20;44;28
1997;707;85;NA;NA;67;NA;NA;16;8
1997;710;608;46;87;545;42;75;133;117
1997;729;298;24;39;234;28;25;63;53
1997;732;150;9;28;85;8;8;37;16
1997;734;1083;151;131;1227;148;248;282;396
1997;736;41;NA;NA;48;4;7;10;11
1997;738;104;7;18;104;7;13;25;20
1997;739;100;8;13;81;9;17;21;26
1997;740;1156;120;207;880;64;80;327;144
1997;742;50;5;10;30;NA;NA;15;4
1997;743;1439;150;257;1452;150;172;407;322
1997;746;111;4;23;108;9;22;27;31
1997;747;81;4;14;56;NA;NA;18;7
1997;748;227;14;33;131;8;27;47;35
1997;749;798;56;102;691;56;87;158;143
1997;751;166;9;24;77;NA;NA;33;10
1997;753;455;33;52;632;59;58;85;117
1997;755;206;19;24;207;15;25;43;40
1997;758;327;31;63;201;26;32;94;58
1997;759;68;4;14;34;NA;NA;18;6
1997;761;239;28;28;242;17;30;56;47
1997;762;145;10;25;129;8;10;35;18
1997;765;274;21;43;221;30;36;64;66
1997;766;NA;NA;NA;6;NA;NA;NA;NA
1997;768;94;NA;NA;46;NA;NA;22;5
1997;771;19;NA;NA;34;NA;NA;5;6
1997;777;318;30;60;139;17;15;90;32
1997;778;231;17;29;157;20;9;46;29
1997;781;147;13;23;127;11;10;36;21
1997;783;201;21;37;196;27;42;58;69
1997;785;128;12;13;99;7;13;25;20
1997;790;546;39;91;479;44;61;130;105
1997;791;186;21;26;146;13;21;47;34
1997;831;231;15;24;182;23;11;39;34
1997;832;177;18;45;97;7;10;63;17
1997;833;47;NA;NA;44;NA;NA;13;4
1997;834;196;15;25;204;17;27;40;44
1997;837;5886;634;892;7842;738;1149;1526;1887
1997;844;46;NA;NA;43;NA;NA;6;6
1997;845;111;4;22;81;NA;NA;26;6
1997;846;186;18;34;74;8;11;52;19
1997;848;175;7;26;124;10;9;33;19
1997;849;116;12;12;68;5;9;24;14
1997;850;76;11;8;77;6;11;19;17
1997;851;678;54;125;424;22;41;179;63
1997;853;5673;617;834;7123;573;1039;1451;1612
1997;854;183;17;33;75;7;5;50;12
1997;857;108;10;14;89;5;9;24;14
1997;858;1238;112;148;1440;122;150;260;272
1997;859;162;12;21;136;15;23;33;38
1997;886;608;36;69;489;34;56;105;90
1997;887;162;19;31;137;15;13;50;28
1997;889;117;8;12;82;11;10;20;21
1997;890;61;8;12;40;NA;NA;20;7
1997;892;99;7;11;81;6;4;18;10
1997;893;132;14;11;114;13;14;25;27
1997;895;482;45;72;399;33;86;117;119
1997;905;2026;259;303;2135;185;313;562;498
1997;908;533;52;80;362;41;45;132;86
1997;911;122;5;20;34;NA;NA;25;NA
1997;915;773;78;104;619;47;79;182;126
1997;918;83;7;14;55;NA;NA;21;8
1997;921;68;7;11;57;8;9;18;17
1997;922;121;4;19;137;9;12;23;21
1997;924;121;6;16;71;5;8;22;13
1997;925;152;7;22;89;NA;NA;29;17
1997;927;853;70;102;876;89;101;172;190
1997;931;199;24;35;171;14;21;59;35
1997;934;89;7;18;55;NA;NA;25;11
1997;935;108;9;13;87;9;17;22;26
1997;936;251;20;43;186;19;23;63;42
1997;941;8;NA;NA;7;NA;NA;NA;NA
1997;946;121;10;16;105;NA;NA;26;19
1997;976;151;14;22;91;13;6;36;19
1997;977;446;46;79;308;42;46;125;88
1997;980;950;56;121;903;59;99;177;158
1997;981;70;4;13;78;8;8;17;16
1997;989;176;20;30;131;13;13;50;26
1997;992;591;66;78;433;43;72;144;115
1998;5;262;28;42;172;19;40;70;59
1998;9;76;9;10;42;5;4;19;9
1998;10;266;20;50;231;20;35;70;55
1998;16;291;24;29;229;20;19;53;39
1998;18;153;8;22;166;19;16;30;35
1998;19;156;11;31;130;7;14;42;21
1998;20;437;46;54;440;31;49;100;80
